Title,Company,Location,Country,Type,Summary,Email,Website,Source,PostedDate,ScrapeDate
Java Backend Software Engineer (m/f/x) in Berlin,MBition GmbH,Berlin,Germany,,"MBition, Mercedes–Benz Innovation Lab is bringing the automotive industry into the future. How?  We are looking for most enthusiastic employees to build together state of the art software that pushes innovation further”  We are doing this in Berlin, in the Silicon Valley of Europe, as a 100% subsidiary of Daimler that has been perfecting the art of moving people, products and services from point A to point B, for more than 120 years.  With an international team of 200 Employees, we integrate people who value quality, creativity and teamwork as much as we do. Together we create passionate technology on all the exciting topics ahead that include navigation and infotainment systems, location-based services, and user experience and user interaction. And we need YOU to help us shaping the future!  Short description of the department: Our Cloud Services department is developing and optimizing connected services and intelligent cloud applications running in the cars. We are looking for a passionate Software Engineer with a pioneering spirit. You will be part of an agile team that is working on the technical foundation and continuous improvement of microsercices running in the cloud. You will be helping to drive the project forward and taking ownership of the technical direction the team chooses.  Responsibilities  Development of complex, sophisticated and high-quality backend architectures. Responsible for building REST java spring microservices on kubernetes cloud environemnt. Improvement of your own competencies, as well as the existing processes and team development methods Participating fully in the development process through the entire software lifecycle  Profile  Education: Degree in computer science, information technology, communication technology, or a comparable qualification  Experience: +2 years of Java backend application development experience. Proven experience developing and implementing java applications running on Kubernetes. Knowledge of Java frameworks such as Spring and Java build tools such as Gradle and Maven. Familiarity with CI tools and test automation.  Nice to have: Experience with microsoft azure cloud.  Personal skills: Proficiency in problem solving and troubleshooting technical issues Excellent organizational, time management, prioritization and multi-tasking skills. Ability to handle multiple competing priorities in a fast-paced environment.  Language skills: Proficiency in English; German proficiency is a plus  What we offer A chance to work on a new generation of Infotainment Systems, which will power millions of cars An international, interdisciplinary innovation lab, which is part of the Daimler AG Agile working methods and open feedback culture A brand new and modern open office Flexible working hours Transportation and health benefits, discounts on cars, free coffee and fruits and more…  Interested?  We look forward to receiving your complete application, including CV (in English or German) and relevant references with the following information: Job title and reference number Salary expectations Earliest start date  We would like to encourage people with health impairments to apply to our jobs! Our building and work places offer the possibilities to adjust to different employee requirements.",,https://www.indeed.com/rc/clk?jk=d13b32deb72bfea4&from=vj&pos=top,indeed,vor 30+ Tagen,2019-09-24 12:26:25
Java Entwickler,MYWORK IT GMBH,Berlin,Germany,"['Full-time,', 'Subcontract']","Wir von der My Work IT GmbH bringen seit 2010 Menschen und Technologie zusammen.Wir unterstützen Sie - vertraut und professionell! Unser Ziel ist es, Ihnen einen Job anbieten zu können, den Sie sich wünschen, der zu Ihnen passt und der Sie glücklich macht.Die My Work IT GmbH sucht am Standort: (……) zum nächstmöglichen Zeitpunkt einen Java Entwickler.Aufgaben, an denen du wächst.Entwicklung von Softwarelösungen auf Basis von JEE.Analyse und Spezifikation von Anforderungen.Konzepterstellung.Anbindung von Datenbanken.Implementierung von Webservices.Qualitätssicherung der Software durch Testing und Code Reviews.Einhaltung von Entwicklungsstandards und Prozessen.Steuerung, Gestaltung, Optimierung der Serviceprozesse.Kompetenzen, die für dich sprechen.Abgeschlossene Ausbildung als Fachinformatiker für Systemintegration oder gleichwertige Ausbildung/Berufserfahrung.Erfahrung in Softwareentwicklungsprojekten.Fundierte Kenntnisse JEE-Frameworks und Technologiestandards.Fundierte Kenntnisse der Entwicklungswerkzeuge: Eclipse, JBoss, Git, Jenkins, Docker, Subversion, etc.Fundierte Kenntnisse in agilen Vorgehensmodellen (Scrum)Ausgezeichnete Kommunikationsfähigkeiten sowie Servicebewusstsein, Flexibilität und Teamwork.Werte, auf die du dich verlassen können.Die My Work IT agiert Europaweit. Auch was neue Karrierewege angeht:Wir unterstützen konsequent die berufliche Förderung von Fach- und Führungskräften.Dazu gehört eine Vielzahl an Angeboten, um den vielfältigen Anforderungen von Beruf und Familie gerecht zu werden.Ein spannendes Aufgabengebiet mit kurzen Entscheidungswegen und der Möglichkeit, Prozesse aktiv mitzugestalten.Besuchen Sie unsere Website für mehr Informationen oder wenden Sie sich telefonisch an unsere Personalabteilung unter 06196 972 771-0My Work IT GmbHNiederlassung DreieichMax-Planck-Straße 1963303 DreieichArt der Stelle: Vollzeit, Freie Mitarbeit",,,indeed,vor 20 Stunden,2019-09-24 12:26:27
Senior Java Developer *,GameDuell GmbH,Berlin,Germany,"['Full-time,', 'Permanent']","GameDuell is one of the leading companies and communities in casual social gaming. In order to keep these high standards, it is not only extremely important to implement new features, but also to continuously optimize the according platform.As a Java Developer at GameDuell, you will find a high traffic internet platform with more than 1.2 billion monthly requests. The backend architecture of GameDuell is based mainly on Java and allows on the one hand, horizontal scaling and on the other, a high availability and robust experience for customers.Your tasksImplement new and expand on existing internationally competitive softwareArchitect, develop, and extend game features (e.g. leagues, tournaments, trophies)Create solutions for managing both customer and gaming dataIntegrate our gaming experience on social networks and mobile applicationsParticipate in architectural decisions, concept creation, code reviews, and pair-programmingWhat we expectDegree in computer science or similar, ideally with a major in software developmentAt least five years’ experience of intensive coding in one or more high-level languages (design and programming)Good knowledge of current Java technologies, especially general knowledge of Java8+ and Java EE 7/8 (also knowledge of frameworks like Spring, Play! etc. is welcome)Master build tools (such as Gradle), delivery pipelines (CI/CD), and an IDEExperience with popular Java EE containers (e.g. WildFly), test-driven development (TDD), and Docker/Kubernetes is an advantageKnowledge about web technologies like JavaScript is nice to haveIdeally, you already have experience in distributed programming and established skills in the relevant technologiesAbility to work quickly and independently with new technologies as well as to determine the right abstraction level of a software solutionWhat we offerDiverse tasks and responsibility for your own workA first-class technological platform that incorporates diverse areas: games, online tournaments and community featuresComfortable working atmosphere in our office in the heart of BerlinIntensive team work to develop the best possible solutions in an environment shaped by ScrumFlexible working hoursPossibility to start immediately in full timeContact ushttps://inside.gameduell.com/jobs/engineering/javadeveloper/?ref=indIf you are up for the challenge, then we look forward to hearing from you. Please send your complete and detailed application, including salary expectations and earliest possible start date, as a PDF by e-mail to Stefan Schwarzat (jobs-ind(at)gameduell.de), with the subject Senior Java Developer. Please note that any applications and documents sent via conventional mail will not be viewed and cannot be returned.* GameDuell is proud to be an equal opportunity employer that does not discriminate in its hiring practices. Any terms referring to people are valid for all genders whether male, female, or diverse.Job Types: Full-time, PermanentExperience:coding in one or more high-level languages: 5 years (Preferred)Language:English (Required)",,,indeed,vor 14 Tagen,2019-09-24 12:26:30
Senior Java Developer (m/f/d),Project A Services GmbH & Co. KG,Berlin,Germany,,"-------------------  We are looking for: -------------------  A new team member for our A-Team.  ------------------------------ What will keep you challenged? ------------------------------   Responsibility for professional development of scalable IT systems for and with our ventures Selection of appropriate technologies and architecture discussions within our team Programming with a clean, testable code Quality assurance through testing and code reviews Sharing of knowledge and willingness to learn Working on different ventures' projects  ---------------------------------------- Which traits contribute to your success? ----------------------------------------   Depth knowledge and experience in Java and working with databases Passion for professional software development (algorithms, design patterns, clean code, agile processes, data structures) Independent and goal-oriented working style Confident handling of architectural concepts and design patterns, good knowledge of technology A hands-on mentality Very good knowledge of English, ideally good German skills  -------------------------------------------  Some technologies you will be working with: -------------------------------------------   Java 8, Spring, Tomcat PostgreSQL, Redis, Elasticsearch Docker, Kubernetes AWS Microservices architecture  -------------------------------  What to expect working with us: -------------------------------   Becoming part of a highly motivated and professional team Having the unique opportunity to experience and to make an impact on recently founded companies Working independently, have all freedom you need and are thus able to personally grow and develop yourself on a constant basis Working at a modern and well-equipped office in the heart of Berlin Benefiting from a communicative, creative and stimulating environment  Do you want to be part of our success story? We are looking forward to your online application.",,https://www.indeed.com/rc/clk?jk=e337f52cf659c007&from=vj&pos=top,indeed,vor 4 Tagen,2019-09-24 12:26:33
Java Entwickler (m/w/d) / Freelancer (3-6 Monate),BS PAYONE GmbH,Berlin,Germany,['Subcontract'],"Deine Mission Gemeinsam mit deinem Team erweiterst und pflegst du unser System zwischen Terminals und Backends, um neue Möglichkeiten für unsere Kunden zu realisieren - dabei immer im Fokus: Genauigkeit und Sicherheit. Du baust mit uns gemeinsam in Remote ein neues Team auf und hältst die Kommunikation zu Teammitgliedern und zu den Kompetenz-Centern Kiel und Frankfurt aufrecht. Hilf uns bei der Modernisierung, Erweiterung und Pflege unserer Systeme durch automatisierte Tests, Refactorings und Code-Reviews, sowie Architektur- und Design-Diskussionen. Mit deinem Team organisierst du gemeinsam eure Arbeitsprozesse so, dass die Firmenziele optimal erreicht werden. Deine Qualifikation Erfolgreiches Studium der Informatik oder vergleichbare Qualifikation Mehrjährige praktische Erfahrung in der Softwareentwicklung von komplexen Systemen (optimalerweise mit Spring Boot oder JEE 6/7/8 (Wildfly/Jboss), OADD, API Design / REST / SOAP oder JPA, MySQL, Maven, git und eine der Script Sprachen: Bash, Python oder PHP) Erfahrung mit Remote-Arbeit in interdisziplinären Teams und agilen Prozessen (Scrum oder Kanban) Lernbereitschaft und Leidenschaft für moderne Softwareentwicklung: Serviceorientierte Anwendungskomponenten für unsere SaaS-Plattform, Clean Code und Design Patterns Konversationssicher in Deutsch und gute Englischkenntnisse Systematisch, Pragmatisch und Kommunikativ",,https://www.indeed.com/rc/clk?jk=c9e1e31f877ea832&from=vj&pos=top,indeed,vor 10 Tagen,2019-09-24 12:26:35
GameDuell: Senior Java Developer (m/w/d),media.net berlinbrandenburg,Berlin,Germany,,"GameDuell is one of the leading companies and communities in casual social gaming. In order to keep these high standards, it is not only extremely important to implement new features, but also to continuously optimize the according platform.  Your tasks  Implement new and expand on existing internationally competitive software Architect, develop, and extend game features (e.g. leagues, tournaments, trophies) Create solutions for managing both customer and gaming data Integrate our gaming experience on social networks and mobile applications Participate in architectural decisions, concept creation, code reviews, and pair-programming What we expect  Degree in computer science or similar, ideally with a major in software development At least five years’ experience of intensive coding in one or more high-level languages (design and programming) Good knowledge of current Java technologies, especially general knowledge of Java8+ and Java EE 7/8 (also knowledge of frameworks like Spring, Play! etc. is welcome) Master build tools (such as Gradle), delivery pipelines (CI/CD), and an IDE Experience with popular Java EE containers (e.g. WildFly), test-driven development (TDD), and Docker/Kubernetes is an advantage Knowledge about web technologies like JavaScript is nice to have Ideally, you already have experience in distributed programming and established skills in the relevant technologies Ability to work quickly and independently with new technologies as well as to determine the right abstraction level of a software solution What we offer  Diverse tasks and responsibility for your own work A first-class technological platform that incorporates diverse areas: games, online tournaments and community features Comfortable working atmosphere in our office in the heart of Berlin Intensive team work to develop the best possible solutions in an environment shaped by Scrum Flexible working hours Possibility to start immediately in full time Contact us  If you are up for the challenge, then we look forward to hearing from you. Please send your complete and detailed application, including salary expectations and earliest possible start date, as a PDF by e-mail to Stefan Schwarzat (jobs@gameduell.de), with the subject „Senior Java Developer“. Please note that any applications and documents sent via conventional mail will not be viewed and cannot be returned. GameDuell is proud to be an equal opportunity employer that does not discriminate in its hiring practices. Any terms referring to people are valid for all genders whether male, female, or diverse.",['jobs@gameduell.de'],https://www.indeed.com/rc/clk?jk=e8dce9122ef70040&from=vj&pos=top,indeed,vor 12 Tagen,2019-09-24 12:26:38
Java developer (m/f/div),Pinguin,Berlin,Germany,,"As a member of our team, you will build a cutting edge J2EE application using Spring / Hibernate from scratch and will face the challenges of integration and migration of existing systems. Using middleware technologies like RabbitMQ and REST, you will build a stable and easy-to-integrate solution that interacts with a large variety of surrounding systems. Job requirements fluency in JAVA experience with related technologies like J2EE application servers multiple years of working experience in software engineering knowledge on working with relational Databases experience with frameworks like Hibernate and Spring think pragmatically and be constantly looking for the best solution feel responsible for our products willingness to participate in architectural discussions and decisions What we offer A secure position in a midsized start-up at heart Enjoy working in a motivated, international team Flat hierarchies and short decision paths An easy-to-reach office in a central location and modern equipment Training programs, skills enhancement and room for creativity Extensive additional services (world’s best coffee machine, BVG company ticket, fruits & veggies, company & team events, Urban Sports Club cooperation)",,,indeed,vor 30+ Tagen,2019-09-24 12:26:41
Java Developer,PeopleDoc - Berlin,Berlin,Germany,,"PeopleDoc is on a mission to revolutionize how every HR function provide services to their employees.  Our unique state of the art HR Service Delivery platform provides HR teams with the tools they need to provide great services while considerably decreasing the manual work behind the scenes and allowing companies to go paperless in their administration.  The PeopleDoc HR Service Delivery platform helps HR teams more easily answer employee requests on demand, automate employee processes, across multiple locations. PeopleDoc serves more than 1000 clients with employees in 180 countries in 12 languages with a 100% customer retention rate. PeopleDoc is now a part of Ultimate Software. Ultimate Software is a Leader for Cloud HCM Applications.  More information is available at www.people-doc.com. ( http://www.people-doc.com. )  Job Description/ Job Summary: PeopleDoc is looking for experienced and talented developers who love working with microservice architecture built on top of a Lot of Java/Dropwizard & more and more Scala/Play. PeopleDoc has been growing like crazy during the last 4 years, and hopefully it's not going to stop! The R&D teams is always in the process of improving our application for our users and supporting the incredible growth of PeopleDoc.  In this role, you will work closely with product owners, UX developers, SRE, DBAs, Support teams, and other web engineers to push forward the implementation of new features while also helping us to scale our platform. As a member of one of our feature teams, you will join a friendly and talented group of Java developers, within a dynamic, forward looking company, facing great engineering challenges.  Our stack includes: Java, Scala, PlayFramework, Python/Django, PostgreSQL, Redis, ElasticSearch, RabbitMQ, Ansible, ember.js  The successful candidate will be required to:  Design, ship and test new features in collaboration with the Product Team Use your deep understanding of web technologies and APIs to advise on the system's architecture Push your code in production, improve our deployment process and monitor it Analyze, rethink and refactor the code to scale the application Write unit, functional and performances tests Contribute to our OpenSource Projects  Competencies required:  The ability to write tested, production grade Java 8 code Extensive SQL skills A solid understanding of Linux development, and a DevOps mindset (we use Ansible to manage configuration, and you are expected to deploy your own application and features) Like to learn & share, you are passionate and humble about your skills Be user focused – ultimately, we are are working for our users Excellent communication skills. As a team and international company we communicate mostly in English, but R&D is based in Paris, so French is mandatory Computer Science degree is viewed favorably  ",,https://www.indeed.com/rc/clk?jk=fe26547b79ee5e55&from=vj&pos=top,indeed,vor 9 Monaten,2019-09-24 12:26:43
Java Entwickler (m/w/d),Atos,Berlin,Germany,,"Atos SE (Societas Europaea) ist ein führender Anbieter für die digitale Transformation mit circa 100.000 Mitarbeitern in 72 Ländern und einem Pro-forma-Jahresumsatz von rund 12 Milliarden Euro. Als europäischer Marktführer für Big Data, Cybersecurity und Digital Workplace unterstützt Atos Unternehmen weltweit mit Cloud Services, Infrastruktur- und Datenmanagement sowie Business- und Plattform-Lösungen. Hinzu kommen Services der Tochtergesellschaft Worldline, dem europäischen Marktführer für Zahlungsverkehrs- und Transaktionsdienste. Mit innovativen Technologien, umfassender digitaler Kompetenz und tiefgreifendem Branchenwissen begleitet Atos die digitale Transformation von Kunden aus unterschiedlichen Marktsegmenten: Banken, Bildung, Chemie, Energie und Versorgung, Gesundheit, Handel, Medien und Verlage, Öffentlicher Sektor, Produktion, Telekommunikation, Transport und Logistik, Versicherungen und Verteidigung. Der Konzern ist der weltweite IT-Partner der Olympischen und Paralympischen Spiele und an der Pariser Börse Euronext notiert. Atos firmiert unter Atos, Atos Consulting, Atos Worldgrid, Bull, Canopy, Unify und Worldline.   Aufgabe  Als Java Entwickler (m/w) beim Software Technology Center werden Sie in der Softwareentwicklung mit der Umsetzung von kleinen bis mittleren Anwendungsteilen von Java Applikationen betraut. Sie werden bevorzugt in Projekten bei unseren Kunden vor Ort eingesetzt, bei denen moderne Methoden und Prozesse für die Softwareentwicklung zum Einsatz kommen sollen (bspw. Agile Softwareentwicklung, DevOps, Infrastrukturautomatisierung und/oder Continuous Delivery).  Zu ihren Aufgaben gehören außerdem: Aktive Mitarbeit in allen Phasen eines Softwareentwicklungsprojektes Erstellung von Teilkomponenten (z.B. Webselling-Modul) zu Standardapplikationen im Bereich Java-Entwicklung Unterstützung bei der Erstellung von Aufwandsschätzungen / Kalkulationsgrundlagen (z.B. bei Kundenausschreibungen im öffentlichen Bereich) Unterstützung bei der Erstellung technischer Konzepte (z.B. Anforderungsanalyse) Unterstützung innerhalb der Ausschreibungsphase bei der Erstellung von Angeboten (z.B. Analyse von Teilaspekten der Ausschreibung) Unterstützung bei der Erstellung von Testkonzepten nach Vorgabe durch den Projektleiter Wissenstransfer Atos intern (z.B. im Rahmen von Learning Friday Veranstaltungen) Unterstützung bei der Evaluation neuer Methoden oder Verfahren im Bereich der Java-Entwicklung (z.B. Continuous Delivery, DevOps, etc.)    Anforderungen  Für diese Position ist fachliches Know-how notwendig, wie es üblicherweise durch eine zweijährige Berufserfahrung oder durch Abschluss einer Berufsausbildung bzw. eines Bachelor-Studiums erworben wurde.  Folgende Anforderungen werden an Sie gestellt: Fortgeschrittene Programmiererfahrung in der Programmiersprache Java sowie Webseitenentwicklung mit Angular, HTML5, CSS und JavaScript/Typescript Praktische Erfahrung und Kenntnisse in der Programmierung von Webservices, Microservices und Kenntnisse in der cloud native Programmierung Grundkenntnisse in der Softwareentwicklung mithilfe eines Java EE Technologiestacks (JSF, JPA und Objekt-Relationalen Mapping-Frameworks (z. B. Hibernate)) Debugging bzw. Remotedebugging von Java Anwendungen Kenntnis von Architekturkonzepten von Frameworks und Entwurfsmustern und deren Umsetzung bei der Programmierung, sowie Grundkenntnisse in UML Erfahrungen bei der Programmierung und Durchführung von Entwicklertests und Erfahrung mit Testautomation (bspw. mithilfe von TestNG, JUnit, Selenium) Erfahrung mit integrierten Entwicklungsumgebungen, vorzugsweise Eclipse Praktische Erfahrung im Umgang mit Versionskontrollsystemen (bspw. Git, Subversion) und ChangeManagement-Systemen (bspw. BugZilla, Confluence, Jira) Kenntnisse in agilen Methoden (z.B. Scrum, Kanban) sowie im Bereich Continous Delivery bzw. Deployment (z.B. Jenkins, Maven) Fortgeschrittene Kenntnisse über relationale Datenbanken (Schlagwörter: Transaktionen/Isolation, referenzielle Integrität), sicherer Umgang mit SQL und PL/SQL Kommunikation von Konzepten und Architekturen in das Projektteam Teamfähigkeit, Lösungsorientierung Fähigkeit zu abstrahieren, zu modellieren und zu vereinfachen Fähigkeit, Abhängigkeiten zu erkennen Analytisches und strukturiertes Vorgehen und eigenständiges selbstverantwortliches Arbeiten Deutsch C2 nach europäischem Referenzrahmen  Wir erwarten die Bereitschaft, sich einer Sicherheitsüberprüfung nach dem Sicherheitsüberprüfungsgesetz (SÜG) zu unterziehen.  Optionale Anforderungen: Kenntnisse in der Erstellung von grafischen Benutzeroberflächen – möglichst mit dem Eclipse SWT Framework – sind von Vorteil Grundkenntnisse in der Serveradministration mit Windows und/oder linuxbasierten Systemen (vorzugsweise RHEL/Fedora oder Debian/Ubuntu).   Ihre Vorteile Atos bietet viele Vorteile als attraktiver Arbeitgeber. Mit Ihrem Eintritt bei Atos treten Sie ein global agierendes Unternehmen ein, in dem Sie neben einem wettbewerbsfähigen Gehalt weitere Vorteile haben. 30 UrlaubstageFlexibles Arbeitenpersönliche Weiterentwicklung - Karrierepfade und -perspektiven  Zusätzliche Informationen  Atos unterscheidet nicht zwischen Herkunft, Religion, Farbe, Geschlecht, Alter, Behinderung oder sexueller Orientierung. Alle Entscheidungen während des gesamten Rekrutierungsprozesses beruhen ausschließlich auf den Qualifikationen, Fähigkeiten, Kenntnissen und Erfahrungen sowie relevanten Geschäftsanforderungen. Bei gleicher Qualifikation werden schwerbehinderte Bewerberinnen und Bewerber und diesen gleichgestellte Menschen bevorzugt berücksichtigt. Bitte beachten Sie, dass nur vollständige Bewerbungsunterlagen (inkl. Anschreiben, Lebenslauf und Zeugnisse) die über unsere Online Bewerbungsplattform bei uns eingehen, in unserem Auswahlprozess berücksichtigt werden können. Bei Fragen zu diesem Stellenangebot wenden Sie sich bitte an Frau Sabine Kreis unter der Telefonnummer +49 211 399 39004. Wir freuen uns auf Ihre Online-Bewerbung!",,https://www.indeed.com/rc/clk?jk=94f13cd2bb02a5cd&from=vj&pos=top,indeed,vor 19 Stunden,2019-09-24 12:26:46
Softwareentwickler (m/w/d) Java,Gauselmann Group,Lübbecke,Germany,,"Softwareentwickler (m/w/d) Java an unserem Standort in Lübbecke Ihre Aufgaben: Als Softwareentwickler (m/w/d) Java sind Sie in unserem Team der Experte für die Entwicklung von Web- und Desktop-Anwendungen. Zudem gehören das Designen und die Planung neuer Produktanforderungen sowie die Erstellung grafischer Benutzeroberflächen und Mockups zu Ihren Tätigkeiten. Abgerundet wird Ihr vielfältiges Aufgabengebiet mit der Weiterentwicklung und Pflege bestehender Server- und Webanwendungen. Ihre Qualifikationen: Erfolgreich abgeschlossenes Studium im Bereich der Informatik oder eine vergleichbare Ausbildung Sehr gute Java Kenntnisse sowie Erfahrungen in den Bereichen Netzwerke, Datenbanken und Webtechnologien Gute Kenntnisse im Bereich relationaler Datenbanken (PostgreSQL) Kenntnisse in ZKOSS Framework, Spring Framework, JPA, Webserver TomCat und Application Server GlassFish, EJB, Maven, Unit Tests, REST WebService Kenntnisse HTML, CSS, JavaScript Flexibilität, Engagement, Zuverlässigkeit und Teamfähigkeit Das erwartet Sie bei uns: Familiengeführte Unternehmensgruppe mit einem lebhaften und internationalen Unternehmensumfeld Offene und freundliche Unternehmenskultur und Kommunikation auf Augenhöhe Vielfältige Karrieremöglichkeiten innerhalb der kompletten Unternehmensgruppe Das Unternehmen Wir sind die Ideenschmiede unserer Gruppe! Das Ergebnis - innovative Unterhaltungsspielgeräte - entwickeln, produzieren und vertreiben wir. Wir sind das Team, in das Sie sich einbringen können und sollen. Wir wachsen stetig und bewegen uns in einem lebhaften Umfeld. Wir denken und kommunizieren offen. Wir sind alles, außer gewöhnlich – und das seit über 60 Jahren!  Vielen Millionen Menschen bietet unsere Unternehmensgruppe beste Unterhaltung. Weltweit. Innovation, Internationalität und Spitzentechnologie – dafür stehen die aktuell über 13 000 engagierten Menschen unter der Merkur Sonne. Gestalten Sie jeden Tag mit und werden auch Sie ein „Spielemacher“! Sie haben Fragen? Wir sind für Sie da!  Telefon: +49 5772 49345 WhatsApp: +49 151 16219977  adp Gauselmann GmbH Ilka-Diana Kaufmann Interesse? Dann freuen wir uns auf Ihre Bewerbung! Bitte geben Sie auch Ihren möglichen Eintrittstermin und Ihre Gehaltsvorstellung an. Bewerben Sie wünschen weitere Infos? www.adp-gauselmann.de Xing",,https://www.indeed.com/rc/clk?jk=0228ec68f35d4f04&from=vj&pos=top&spon=1&adid=309723676&sjdu=Zsl4IHK8Jt3HI_0dQuFDmZVBIvptbt2jMOIfPn_VhBCPoa-yZ2lBr-NIgFvq1-Ma0UgMorJ4cpTHf_Ceuc16UgOV3MNoNbAzVvwEwnbe_jRpN_9Ss3RcnrNyJt-EzMvzruXC_8EMNIlInF3v6k0flBZIhpEN39M_r4VJke4A5CIIx5YTF9AMSGcm9gRv9I8e-hlgt1BEyrOP3vWZokakEQ,indeed,,2019-09-24 12:26:49
Java Entwickler,Das Büro am Draht GmbH,Berlin-Kreuzberg,Germany,,"Wir sind das Bü*ro am Draht. Mit 100 Kolleginnen und Kollegen entwickeln wir seit 1995 moderne und individuelle Web-Applikationen f*ür Kunden wie die Audi AG und weitere Konzernmarken der Volkswagen AG. Von der Konzeption über die Umsetzung und den Betrieb bis zum internationalen Rollout beraten und begleiten wir unsere Kunden über viele Projekte und Jahre hinweg. Dabei entwickeln wir nicht nur mit Leidenschaft, sondern auch mit der neuesten Technologie.Java Backend Entwickler (m/w/d)AUFGABENGEBIETEKonzeption und Analyse von Software- und Systemarchitekturen im Kontext der Datenkonsolidierung und -analyseEntwurf und Implementierung von WebServices in einem agilen ArbeitsumfeldAnforderungsanalyse und Konzeption von technischen LösungenTestautomatisierung mit JUnit und Spring Test-FrameworkANFORDERUNGENAbgeschlossenes IT Studium/Ausbildung oder vergleichbare ErfahrungenPraxiserfahrung bei der Implementierung von Softwarelösungen in Java (ab Version 8)Gute Kenntnisse im Umgang mit Springboot (ab Version 1.5) / Spring (ab Version 4.x), REST, JUnitErfahrung mit Maven und GitCI VerständnisLeidenschaft für Clean CodeAusgeprägtes abstraktes DenkvermögenEIN PLUS SINDKenntnisse in Docker (Kubernetes)Erfahrung mit Elasticsearch StackFreude an Analyse und StatistikUNSER ANGEBOT eigenverantwortliches Arbeitenein freundliches und entspanntes Arbeitsumfeld in einemetablierten Unternehmen mit hohem Anspruch an KollegialitätFort- und Weiterbildung in Form von Konferenzen,internen Tech-Talks und andere interdisziplinäre Austauschformate(Workshops, Offsites)ein attraktives Gehalt und flexible Arbeitszeitenviele weitere Benefits, wie kostenlose Getränke, gemeinsames Frühstückam Montag, frisch gekochtes Essen dreimal in der Woche,betriebliche Altersvorsorge und regelmäßige FirmeneventsArt der Stelle: VollzeitBerufserfahrung:Informatik: 3 Jahre (Bevorzugt)Java: 3 Jahre (Bevorzugt)Software Entwicklung: 3 Jahre (Bevorzugt)",,,indeed,,2019-09-24 12:26:52
